Registration;Manuf.;Model;Type;c/n;l/n;Reg/Opr;SELC;built;delivery;until;status
HB-JNJ;Boeing;777-3DEER;B77W;62755;1545;SWR;;2018;2018-03-13;;active
D-AIAX;Airbus;A-300-605R;A306;773;;SWR;;1996;2006-07-08;2007;to other opr
EI-GXB;EMBRAER;ERJ-145LU;E145;145601;;SWR;;2002;2004-01-30;2004;reregistered
F-GOZI;Saab-Scania;2000;SB20;2000-012;;SWR;;1995;2004-08-20;2006;reregistered
HB-IJT;Airbus;A320-214;A320;870;;SWR;;1999;2002-03-31;2003;reregistered
HB-IJV;Airbus;A320-214;A320;2024;;SWR;AEKP;2003;2003-06-12;2012;to other opr
HB-IJX;Airbus;A320-214;A320;1762;;SWR;DLBP;2002;2009-04-30;2017;reregistered
HB-INR;McDonnell Douglas;MD-82;MD82;49277;1181;SWR;JKER;1985;2003-12;2005;reregistered
HB-INZ;McDonnell Douglas;MD-81 ->83;MD83;49572;1468;SWR;;1988;2003-04;2005;reregistered
HB-IOA;Airbus;A321-111;A321;517;;SWR;;1994;2002-03-31;2003;reregistered
HB-IOB;Airbus;A321-111;A321;519;;SWR;FRKP;1994;2002-03-31;2003;reregistered
HB-IOI;Airbus;A321-111->211->212;A321;827;;SWR;HSPR;1998;2002-03-31;2004;reregistered
HB-IOJ;Airbus;A321-111 ->211->212;A321;891;;SWR;;1998;2002-03-31;2004;reregistered
HB-IPR;Airbus;A319-112;A319;1018;;SWR;PQBM;1999;2002-03-31;2013;reregistered
HB-IPS;Airbus;A319-112;A319;734;;SWR;QSKP;1997;2002-03-31;2013;reregistered
HB-IQA;Airbus;A330-223;A332;229;;SWR;ABLP;1998;2002-03-31;2011;to other opr
HB-IQB;Airbus;A330-223;A332;240;;SWR;AFRS;1998;2002-03-31;2003;reregistered
HB-IQC;Airbus;A330-223;A332;249;;SWR;AKGS;1998;2002-03-31;2012;reregistered
HB-IQD;Airbus;A330-223;A332;253;;SWR;AMBP;1999;2002-03-31;2004;reregistered
HB-IQE;Airbus;A330-223;A332;255;;SWR;AMKP;1999;2002-03-31;2004;reregistered
HB-IQF;Airbus;A330-223;A332;262;;SWR;ACDS;1999;2002-03-31;2004;reregistered
HB-IQG;Airbus;A330-223;A332;275;;SWR;AJDP;1999;2002-03-31;2009;reregistered
HB-IQH;Airbus;A330-223;A332;288;;SWR;GSKQ;1999;2002-03-31;2011;reregistered
HB-IQI;Airbus;A330-223;A332;291;;SWR;HKBS;1999;2002-03-31;2010;reregistered
HB-IQJ;Airbus;A330-223;A332;294;;SWR;AKJR;1999;2002-03-31;2009;reregistered
HB-IQK;Airbus;A330-223;A332;299;;SWR;AMCP;1999;2002-03-31;2009;reregistered
HB-IQO;Airbus;A330-223;A332;343;;SWR;AKMP;2000;2002-03-31;2010;reregistered
HB-IQP;Airbus;A330-223;A332;366;;SWR;AGMQ;2000;2002-03-31;2009;reregistered
HB-IQQ;Airbus;A330-223;A332;322;;SWR;HRJP;2000;2006-11-10;2011;reregistered
HB-IQR;Airbus;A330-223;A332;324;;SWR;;2000;2006-11-14;2009;reregistered
HB-ISX;McDonnell Douglas;MD-83;MD83;49844;1579;SWR;;1989;2002-03-30;2004;reregistered
HB-ISZ;McDonnell Douglas;MD-83;MD83;49930;1720;SWR;;1990;2002-03-30;2004;reregistered
